FID,OBJECTID,Layer,Phase,Plot_Numbe,Plot_Type,Area_Acre,Area_Sqm,Adjacent_P,Adjacent_R,Availabili,Relationsh,Test,Shape_Leng,Shape_Area,Plot_Name,Plot_No_V1
1,1,00-Road-25-03-2022,Phase 1,RD 4,40 MT-ROW,0,82979.17, , ,NA, , ,4231.92560175,82994.7413414,Road, ,,
2,2,00-PLOT BOUNDARY-25-03-2022,Phase 1,19,Plot,16.51,66809.71,18,"RD-10, UC-2, UC-3",Yes, ,16.51,1175.04622079,66809.7138441,Yes,19,,
3,3,00-PLOT BOUNDARY-25-03-2022,Phase 1,17,Plot,4.65,18812.23,"16, 18",RD-10,Yes, ,4.65,555.636228403,18812.2282936,Yes,17,,
4,4,00-PLOT BOUNDARY-25-03-2022,Phase 1,18,Plot,6.27,25371.12,"17, 19",RD-10,Yes, ,6.27,662.159375522,25371.1202724,Yes,18,,
5,5,0,Phase 1,7,Plot,18.7,75668.15,"1, 2, 3, 6, 8",RD-2,Yes, ,18.7,1195.77506966,75668.1538196,Yes,7,,
6,6,0,Phase 1,8,Plot,21.77,88119.01,"1, 2, 7",RD-2,Yes, ,21.77,1303.08595112,88119.0069504,Yes,8,,
7,7,0,Phase 1,1,Plot,16.96,68650.03,"2, 7, 8","RD-1, 120 MT-ROW",Yes, ,16.96,1144.00789364,68650.0281422,Yes,1,,
8,8,0,Phase 1,2,Plot,18.49,74820.65,"1, 3, 6, 7, 8",RD-1,Yes, ,18.49,1188.58228181,74820.6539262,Yes,2,,
9,9,00-PLOT BOUNDARY-25-03-2022,Phase 1,3,Plot,22.37,90533.84,"2, 4, 5, 6, 7",RD-1,Yes, ,22.37,1272.72357918,90533.8415319,Yes,3,,
10,10,00-PLOT BOUNDARY-25-03-2022,Phase 1,6,Plot,22.1,89430.11,"2, 3, 4, 5, 7",RD-2,Yes, ,22.1,1262.64669034,89430.1138147,Yes,6,,
11,11, ,Phase 1, ,Torrent High Tension Line,0,6854.76, , ,NA, , ,492.031343825,6854.7553351,Torrent High Tension Line, ,,
12,12, ,Phase 1,UC 9,8 MT-UC,0,3338.4, , ,NA, , ,865.840381525,3338.40340666,Road, ,,
13,13, ,Phase 1, ,Torrent High Tension Line,0,3785.67, , ,NA, , ,490.611589402,3785.66859589,Torrent High Tension Line, ,,
14,14,00-PLOT BOUNDARY-25-03-2022,Phase 1,4,Plot,21.21,85820.65,"3, 5, 6","RD-1, RD-4",Yes, ,21.21,1267.56896383,85820.6514004,Yes,4,,
15,15,00-PLOT BOUNDARY-25-03-2022,Phase 1,5,Plot,22.8,92263.18,"4, 6","RD-2, RD-4",Yes, ,22.8,1278.24583433,92263.1811016,Yes,5,,
16,16,0-Payal IP-Boundary 9 Mt Margin Line,Phase 1,GS,Green Space,0,11359.56, , ,NA, , ,1545.54119145,11359.5560673,Green Space, ,,
17,17,00-PLOT BOUNDARY-25-03-2022,Phase 1,11,Plot,10.8,43716.66,"9, 10, 12",RD-7,Yes, ,10.8,885.562017224,43716.6648808,Yes,11,,
18,18,00-PLOT BOUNDARY-25-03-2022,Phase 1,10,Plot,10.85,43908.41,"9, 11, 12",RD-6,Yes, ,10.85,886.901083759,43908.4075512,Yes,10,,
19,19,00-PLOT BOUNDARY-25-03-2022,Phase 1,12,Plot,10.88,44045.59,"9, 10, 11","RD-4, RD-7",Yes, ,10.88,888.46024971,44045.5906741,Yes,12,,
20,20,00-PLOT BOUNDARY-25-03-2022,Phase 1,9,Plot,11,44535.54,"10, 11, 12","RD-4, RD-6",Yes, ,11,889.076905026,44535.5416779,Yes,9,,
21,21,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,910.965359967,50026.8497393,No, ,,
22,22,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,910.524072689,49967.2269578,No, ,,
23,23,0-Payal IP-Boundary 9 Mt Margin Line, ,GS,Green Space,0,0, , ,NA, , ,2286.85555262,20150.682749,Green Space, ,,
24,24,00-MASTER PLAN CANAL, , ,Canal,0,0, , ,NA, , ,1944.40834026,42367.9631586,Canal, ,,
25,25,00-MASTER PLAN CANAL, , ,Canal,0,0, , ,NA, , ,1607.45539229,29110.7011714,Canal, ,,
26,26,00-PLOT BOUNDARY-25-03-2022,Phase 1, , ,0,260756.74, , ,NA, , ,2738.83813325,260756.736596,No, ,,
27,27,00-PLOT BOUNDARY-25-03-2022,Phase 1,UP-5,SUMP,0,9446.97, , ,NA, , ,389.426900575,9446.97410804,Utility, ,,
28,28,00-PLOT BOUNDARY-25-03-2022,Phase 1,UP-7,ESR,0,9430.18, , ,NA, , ,388.999066657,9430.18185331,Utility, ,,
29,29,00-PLOT BOUNDARY-25-03-2022,Phase 1,UP-4,Pumping Station,0,9446.97, , ,NA, , ,389.426775378,9446.96717174,Utility, ,,
30,30,00-PLOT BOUNDARY-25-03-2022,Phase 1,UP-3,UP-3,0,9446.97, , ,NA, , ,389.42690651,9446.97286289,Utility, ,,
31,31,00-PLOT BOUNDARY-25-03-2022,Phase 1,UP-9,Drainage PS-1,0,10043.81, , ,NA, , ,409.665134899,10043.8139126,Utility, ,,
32,32,00-PLOT BOUNDARY-25-03-2022,Phase 1,20,Plot,7.98,32311.25,21,UC-9,Yes, ,7.98,841.540667708,32311.2484738,Yes,20,,
33,33,00-PLOT BOUNDARY-25-03-2022,Phase 1,21,Plot,3.04,12316.6,20,UC-9,Yes, ,3.04,490.545980615,12316.6049632,Yes,21,,
34,34,00-PLOT BOUNDARY-25-03-2022,Phase 1,16,Plot,2.91,11794.82,"15, 17",RD-10,Yes, ,2.91,441.752560614,11794.8153504,Yes,16,,
35,35,00-PLOT BOUNDARY-25-03-2022,Phase 1,15,Plot,1.09,4431.11,16,RD-10,Yes, ,1.09,270.185713664,4431.11013262,Yes,15,,
36,36,00-PLOT BOUNDARY-25-03-2022,Phase 1,13,Plot,20.05,81145.54,14,"RD-10, RD-11, MDR",Yes, ,20.05,1286.3862825,81145.5410844,Yes,13,,
37,38,00-PLOT BOUNDARY-25-03-2022,Phase 1, ,60 MT WIDE ROW,0,1382.31, , ,NA, , ,261.056716814,1382.30901537,Road, ,,
38,39,00-PLOT BOUNDARY-25-03-2022,Phase 1,RD 10,18 MT-ROW,0,27866.58, , ,NA, , ,3166.63332534,27866.5753652,Road, ,,
39,40,00-PLOT BOUNDARY-25-03-2022,Phase 1,60 MT WIDE ROW,60 MT WIDE ROW,0,122881.37, , ,NA, , ,4308.21116893,122881.369086,Road, ,,
40,41,00-PLOT BOUNDARY-25-03-2022,Phase 1,GS,Green Space,0,2860.87, , ,NA, , ,225.874131619,2873.54131226,Green Space, ,,
41,42,0-Payal IP-Boundary 9 Mt Margin Line,Phase 1,GS,Green Space,0,2194.31, , ,NA, , ,509.981399671,2194.31471382,Green Space, ,,
42,43,00-MASTER PLAN CANAL, , ,Canal,0,0, , ,NA, , ,731.36145226,13554.4418269,Canal, ,,
43,46,0-Payal IP-Boundary 9 Mt Margin Line, ,GS,Green Space,0,0, , ,NA, , ,656.758336093,4666.43003947,Green Space, ,,
44,47,0-Payal IP-Boundary 9 Mt Margin Line, ,GS,Green Space,0,0, , ,NA, , ,543.076327518,1945.12922991,Green Space, ,,
45,49,COMPOUND WALL, , ,Tornascent Care Institute,0,0, , ,NA, , ,678.367510883,20695.5833932,No, ,,
46,51,00-PLOT BOUNDARY-25-03-2022,Phase 1,UC 2,8 MT-UC,0,739.4, , ,NA, , ,205.995181465,739.396002931,Road, ,,
47,52,0-Payal IP-Boundary 9 Mt Margin Line,Phase 1,GS,Green Space,0,36704.13, , ,NA, , ,8106.69985299,36704.1266759,Green Space, ,,
48,53,00-PLOT BOUNDARY-25-03-2022,Phase 1,WB-5,Waterbody,0,107362.19, , ,NA, , ,1436.67316217,107362.187392,Waterbody, ,,
49,54,00-PLOT BOUNDARY-25-03-2022,Phase 1, , ,0,65136.71, , ,NA, , ,1073.9124509,65136.7071906,No, ,,
50,55,00-PLOT BOUNDARY-25-03-2022,Phase 1, ,Reserve for Tank Farm / Stem & Logistic,0,740320.33, , ,NA, , ,4780.9866262,740320.327198,No, ,,
51,56,00-pond,Phase 1,WB-2,Waterbody,0,68432.42, , ,NA, , ,1436.11037936,68432.4160005,Waterbody, ,,
52,57,00-PLOT BOUNDARY-25-03-2022,Phase 1,UC 3,8 MT-UC,0,1562.5, , ,NA, , ,413.564194198,1562.50453462,Road, ,,
53,58,00-PLOT BOUNDARY-25-03-2022,Phase 1,GS,Green Space,0,15338.63, , ,NA, , ,744.279183341,15338.6312859,Green Space, ,,
54,59,Site Office WALL,Phase 1,WB-6,Waterbody,0,6395.99, , ,NA, , ,361.990255954,6395.99421799,Waterbody, ,,
55,61,0-Payal IP-Boundary 9 Mt Margin Line,Phase 1,GS,Green Space,0,6316.21, , ,NA, , ,1428.35389051,6316.20514909,Green Space, ,,
56,62,0-Payal IP-Boundary 9 Mt Margin Line,Phase 1,GS,Green Space,0,155.09, , ,NA, , ,58.7611406888,155.091961479,Green Space, ,,
57,63,Luvara Canal,Phase 1, ,Luvara Branch Canal,0,249124.9, , ,NA, , ,4806.2053873,249124.900798,No, ,,
58,64,00-pond,Phase 1, , ,0,152.61, , ,NA, , ,113.260837135,152.614192167,No, ,,
59,65,0-Payal IP-Boundary 9 Mt Margin Line,Phase 1,GS,Green Space,0,1478.47, , ,NA, , ,640.912124058,1478.47308751,Green Space, ,,
60,66,0-Payal IP-Boundary 9 Mt Margin Line,Phase 1,GS,Green Space,0,364.94, , ,NA, , ,594.913503658,1487.27957308,Green Space, ,,
61,68,Site office road,Phase 1, , ,0,596.96, , ,NA, , ,112.815196992,596.964445586,No, ,,
62,69,Site office road,Phase 1, , ,0,343.08, , ,NA, , ,75.3045920632,343.078631198,No, ,,
63,70,Pond - Not in GOVT Record Srno, , ,Waterbody,0,0, , ,NA, , ,193.474810509,2470.44733558,Waterbody, ,,
64,71,Pond - Not in GOVT Record Srno, ,GS,Green Space,0,0, , ,NA, , ,406.493380493,536.40312665,No, ,,
65,73,00-pond,Phase 1,WB-1,Waterbody,0,33286.69, , ,NA, , ,967.424486767,33286.6923353,Waterbody, ,,
66,74,Site Office Buld,Phase 1, , ,0,468.64, , ,NA, , ,84.4817176782,468.640821135,No, ,,
67,75,Site Office Buld,Phase 1, , ,0,467.35, , ,NA, , ,84.0504110681,467.346308008,No, ,,
68,77,00-pond, ,GS,Green Space,0,0, , ,NA, , ,497.774486615,1812.53922004,Green Space, ,,
69,78,00-pond, , ,Waterbody,0,0, , ,NA, , ,222.037906661,2092.71636354,Waterbody, ,,
70,79,00-pond, ,GS,Green Space,0,0, , ,NA, , ,447.896100928,1265.23591237,Green Space, ,,
71,80,00-pond, , ,Waterbody,0,0, , ,NA, , ,204.741496884,2893.96108821,Waterbody, ,,
72,82,00-pond, , ,Waterbody,0,0, , ,NA, , ,266.768389548,3580.71190008,Waterbody, ,,
73,83,00-pond, ,GS,Green Space,0,0, , ,NA, , ,534.978017267,48.1564853002,Green Space, ,,
74,84,00-pond, ,GS,Green Space,0,0, , ,NA, , ,643.832317049,193.145735,Green Space, ,,
75,85,00-pond, , ,Waterbody,0,0, , ,NA, , ,319.536254108,6291.04365711,Waterbody, ,,
76,86,00-pond, , ,Waterbody,0,0, , ,NA, , ,216.645544847,2953.57771403,Waterbody, ,,
77,87,0-Payal IP-Boundary 9 Mt Margin Line, ,GS,Green Space,0,0, , ,NA, , ,291.462240517,703.195990068,Green Space, ,,
78,88,0-Payal IP-Boundary 9 Mt Margin Line, ,GS,Green Space,0,0, , ,NA, , ,616.006686221,6737.70907364,Green Space, ,,
79,89,0-Payal IP-Boundary 9 Mt Margin Line, ,GS,Green Space,0,0, , ,NA, , ,4638.77700292,20766.1526667,Green Space, ,,
80,90,0-Payal IP-Boundary 9 Mt Margin Line, ,GS,Green Space,0,0, , ,NA, , ,1156.54889334,5121.1229642,No, ,,
81,91,0-Payal IP-Boundary 9 Mt Margin Line, ,GS,Green Space,0,0, , ,NA, , ,2403.43029557,10730.167134,Green Space, ,,
82,92,0-Payal IP-Boundary 9 Mt Margin Line, ,GS,Green Space,0,0, , ,NA, , ,4724.48679392,21180.9722761,Green Space, ,,
83,93,0-Payal IP-Boundary 9 Mt Margin Line, ,GS,Green Space,0,0, , ,NA, , ,5629.65275183,25251.2499953,Green Space, ,,
84,94,0-Payal IP-Boundary 9 Mt Margin Line, ,GS,Green Space,0,0, , ,NA, , ,1139.16476116,5041.95596046,Green Space, ,,
85,95,00-pond,Phase 1,WB-3,Waterbody,0,2072.41, , ,NA, , ,182.714561617,2072.41184593,Waterbody, ,,
86,96,00-pond,Phase 1,WB-4,Waterbody,0,4629.76, , ,NA, , ,277.917357368,4629.76015647,Waterbody, ,,
87,97,0-Payal IP-Boundary 9 Mt Margin Line,Phase 1,GS,Green Space,0,9251.25, , ,NA, , ,1864.34710705,9251.24577033,Green Space, ,,
88,98,0-Payal IP-Boundary 9 Mt Margin Line,Phase 1,GS,Green Space,0,2764.93, , ,NA, , ,646.236053768,2764.92938589,Green Space, ,,
89,99,0-Payal IP-Boundary 9 Mt Margin Line, ,GS,Green Space,0,0, , ,NA, , ,676.817928612,2961.95365328,Green Space, ,,
90,100,00-PLOT BOUNDARY-25-03-2022, , ,150 MT WIDE ROW,0,0, , ,NA, , ,857.807551565,26440.0013654,Road, ,,
91,101,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1423.87759776,112021.159564,No, ,,
92,102,00-PLOT BOUNDARY-25-03-2022, , ,66 KVA-SS,0,0, , ,NA, , ,616.761486518,19533.7367364,Utility, ,,
93,103,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1089.68210169,62003.040852,No, ,,
94,104,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,811.102536585,32890.1203637,No, ,,
95,105,00-PLOT BOUNDARY-25-03-2022, , ,24 MT-ROW,0,0, , ,NA, , ,931.921071951,10464.0768971,Road, ,,
96,106,00-PLOT BOUNDARY-25-03-2022, ,GS,Green Space,0,0, , ,NA, , ,2335.79156218,228942.853531,Green Space, ,,
97,107,00-PLOT BOUNDARY-25-03-2022, ,GS,Green Space,0,0, , ,NA, , ,980.828333009,18861.455605,Green Space, ,,
98,108,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,617.625262914,22928.4837611,No, ,,
99,109,00-PLOT BOUNDARY-25-03-2022, ,GS,Green Space,0,0, , ,NA, , ,821.382197606,15295.3870339,Green Space, ,,
100,110,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,882.187450015,48559.030636,No, ,,
101,111,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1009.52356584,55985.9652451,No, ,,
102,112,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,668.257003946,23766.8424304,No, ,,
103,113,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1785.78769402,183904.208575,No, ,,
104,114,00-PLOT BOUNDARY-25-03-2022, , ,66 KVA-SS,0,0, , ,NA, , ,567.430040189,18067.5900632,Utility, ,,
105,115,00-PLOT BOUNDARY-25-03-2022, ,GS,Green Space,0,0, , ,NA, , ,346.1653155,4949.61095341,Green Space, ,,
106,116,0-Payal IP-Boundary 9 Mt Margin Line,Phase 1,GS,Green Space,0,9131.78, , ,NA, , ,1250.7693541,9131.77688499,Green Space, ,,
107,118,0-Payal IP-Boundary 9 Mt Margin Line,Phase 1,GS,Green Space,0,248.76, , ,NA, , ,405.677540524,1014.19013919,Green Space, ,,
108,119,0-Payal IP-Boundary 9 Mt Margin Line,Phase 1,GS,Green Space,0,20204.81, , ,NA, , ,4508.95033312,20204.811578,Green Space, ,,
109,120,00-PLOT BOUNDARY-25-03-2022,Phase 1,PIP,PIP Office,0,21549.51, , ,NA, , ,1542.40066866,21574.6392098,Utility, ,,
110,121,00-PLOT BOUNDARY-25-03-2022,Phase 1, , ,0,166172.68, , ,NA, , ,1967.83396194,166172.677608,No, ,,
111,122,00-PLOT BOUNDARY-25-03-2022,Phase 1,GS,Green Space,0,3566.53, , ,NA, , ,262.356318332,3566.53045778,Green Space, ,,
112,123,00-PLOT BOUNDARY-25-03-2022,Phase 1,120 MT WIDE ROW,120 MT WIDE ROW,0,143590.97, , ,NA, , ,2961.22374303,143590.972714,Road, ,,
113,124,00-PLOT BOUNDARY-25-03-2022,Phase 1,RD 11,24 MT-ROW,0,8330.2, , ,NA, , ,744.055414891,8330.1989754,Road, ,,
114,125,00-PLOT BOUNDARY-25-03-2022,Phase 1,UC 2,8 MT-UC,0,2936.05, , ,NA, , ,751.337460891,2936.05390415,Road, ,,
115,126,00-PLOT BOUNDARY-25-03-2022,Phase 1, , ,0,41701.44, , ,NA, , ,1137.31944621,41701.4438535,No, ,,
116,127,00-PLOT BOUNDARY-25-03-2022,Phase 1, ,Torrent High Tension Line,0,1912.79, , ,NA, , ,202.741651931,1912.79299409,Torrent High Tension Line, ,,
117,128,00-PLOT BOUNDARY-25-03-2022,Phase 1, ,Torrent High Tension Line,0,12923.85, , ,NA, , ,814.245209484,12923.8454076,No, ,,
118,129,00-PLOT BOUNDARY-25-03-2022,Phase 1,UC 1,8 MT-UC,0,2971.2, , ,NA, , ,760.053491309,2971.19893157,Road, ,,
119,130,00-PLOT BOUNDARY-25-03-2022,Phase 1,GS,Green Space,0,4925.91, , ,NA, , ,615.366045466,4925.90613612,Green Space, ,,
120,131,00-PLOT BOUNDARY-25-03-2022,Phase 1, , ,0,248.69, , ,NA, , ,88.1532486822,248.693517137,No, ,,
121,132,00-PLOT BOUNDARY-25-03-2022,Phase 1,RD 8,24 MT-ROW,0,17755.61, , ,NA, , ,1536.8637536,17755.6118295,Road, ,,
122,133,00-PLOT BOUNDARY-25-03-2022,Phase 1,ONGC,ONGC Well,0,16759.38, , ,NA, , ,519.248389156,16759.3798066,ONGC, ,,
123,134,00-PLOT BOUNDARY-25-03-2022,Phase 1,120 MT WIDE ROW,120 MT WIDE ROW,0,48541.56, , ,NA, , ,1152.64112528,48541.561854,Road, ,,
124,135,00-Road-25-03-2022,Phase 1,MDR,MDR,0,32367.77, , ,NA, , ,2043.42193193,32367.7663806,Road, ,,
125,136,00-PLOT BOUNDARY-25-03-2022,Phase 1,GS,Green Space,0,2006.34, , ,NA, , ,309.006654107,2006.33566595,Green Space, ,,
126,137,0-Payal IP-Boundary 9 Mt Margin Line,Phase 1,GS,Green Space,0,18467.01, , ,NA, , ,2492.51538987,18467.0072261,Green Space, ,,
127,138,00-PLOT BOUNDARY-25-03-2022,Phase 1,UP-6,Pumping Station,0,22698.03, , ,NA, , ,603.233500562,22698.0272069,Utility, ,,
128,139,0-1 KM Circle,Phase 1,GS,Green Space,0,3600.5, , ,NA, , ,285.122565787,3600.49693258,Green Space, ,,
129,140,00-PLOT BOUNDARY-25-03-2022,Phase 1, , ,0,170901.96, , ,NA, , ,1722.02767617,170880.377064,No, ,,
130,141,00-PLOT BOUNDARY-25-03-2022, , ,Gail Pipe Line,0,0, , ,NA, , ,931.42806925,6669.14852774,Gail Pipe Line, ,,
131,142,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,1537.53481956,152375.546585,No, ,,
132,143,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,2056.1417909,151351.644175,No, ,,
133,144,00-PLOT BOUNDARY-25-03-2022, , , ,0,0, , ,NA, , ,2786.89363753,355121.95044,No, ,,
134,145,00-PLOT BOUNDARY-25-03-2022, , ,Gail Pipe Line,0,0, , ,NA, , ,79.1859022371,257.829122465,Gail Pipe Line, ,,
